"sol:0","sol:1","sol:2","anal2","error2","Points:0","Points:1","Points:2"
-1.2316,1.0759,0,-1.2316,3.5952e-08,-2,1.5,3.5952e-08
-1.5772,1.0721,0,-1.5772,1.3792e-08,-2,1.2,1.3792e-08
-1.9527,0.97542,0,-1.9527,3.3925e-08,-2,0.9,3.3925e-08
-2.3078,0.75803,0,-2.3078,1.7796e-09,-2,0.6,1.7796e-09
-2.5694,0.41862,0,-2.5694,3.9711e-08,-2,0.3,3.9711e-08
-0.32296,0.69359,0,-0.32296,3.1873e-08,-2,2.85,3.1873e-08
-0.44529,0.78861,0,-0.44529,3.0829e-09,-2,2.55,3.0829e-09
-0.60608,0.88706,0,-0.60608,7.132e-09,-2,2.25,7.132e-09
-0.81446,0.98047,0,-0.81446,1.6475e-08,-2,1.95,1.6475e-08
-1.0781,1.0538,0,-1.0781,2.7993e-08,-2,1.65,2.7993e-08
-1.3987,1.0834,0,-1.3987,3.5371e-08,-2,1.35,3.5371e-08
-1.7637,1.0374,0,-1.7637,2.5494e-08,-2,1.05,2.5494e-08
-2.137,0.88279,0,-2.137,2.6128e-08,-2,0.75,2.6128e-08
-2.4553,0.60201,0,-2.4553,2.0584e-08,-2,0.45,2.0584e-08
-2.6418,0.21479,0,-2.6418,2.0048e-08,-2,0.15,2.0048e-08
4.9014,0.13212,0,3.185,0.14303,1.9641,1.4497,0.14303
3.2171,2.7948,0,2.1203,0.091398,1.0583,1.8666,0.091398
2.7578,-2.8963,0,1.8312,0.077216,3.0736,1.9726,0.077216
-0.26521,-4.3328,0,-0.11806,0.012263,4.3795,1.9312,0.012263
-0.25772,4.2901,0,-0.1126,0.012093,-0.38096,1.9413,0.012093
7.0742,-1.693,0,5.2698,0.15036,2.4344,0.77686,0.15036
7.0113,2.0544,0,5.1892,0.15184,1.4966,0.83866,0.15184
-2.0711,4.2792,0,-1.4405,0.052549,-0.9573,1.5636,0.052549
-2.1376,-4.3392,0,-1.4932,0.0537,4.9562,1.5429,0.0537
1.9627,-5.4444,0,1.4237,0.044913,3.6833,1.6819,0.044913
2.0602,5.5333,0,1.4977,0.046873,0.33222,1.6591,0.046873
3.1185,-0.67928,0,2.0057,0.092734,2.268,2.0644,0.092734
5.2963,-4.1942,0,3.7972,0.12493,2.9567,1.2903,0.12493
6.0104,4.0678,0,4.4044,0.13383,1.1118,1.1519,0.13383
3.247,0.92421,0,2.0837,0.096944,1.6517,2.0076,0.096944
1.7747,3.1534,0,1.2227,0.046006,0.5482,2.1457,0.046006
-0.82383,-2.5661,0,-0.53618,0.023971,5.0509,2.1686,0.023971
-0.80668,2.5418,0,-0.52453,0.023512,-1.0498,2.1807,0.023512
-0.581,-6.1972,0,-0.37457,0.017202,4.3095,1.5674,0.017202
-0.59727,6.1265,0,-0.38465,0.017718,-0.31846,1.5768,0.017718
3.8062,-1.4967,0,2.4471,0.11326,2.4803,1.7908,0.11326
-4.2288,-2.2305,0,-3.4641,0.063723,5.5344,0.697,0.063723
-4.2048,2.2581,0,-3.4378,0.063916,-1.5325,0.70881,0.063916
6.955,-0.18604,0,5.7074,0.10397,2.0822,0.38453,0.10397
-1.8405,6.1459,0,-1.3322,0.042355,-0.57123,1.4441,0.042355
-1.8711,-6.2463,0,-1.3629,0.042354,4.5637,1.4297,0.042354
2.2768,-1.7185,0,1.5315,0.062103,2.8425,2.2835,0.062103
4.2933,1.7735,0,2.7901,0.12527,1.4871,1.6271,0.12527
3.5589,-7.26,0,2.8269,0.061002,3.5517,1.3067,0.061002
3.8101,7.4333,0,3.0658,0.062025,0.4654,1.2683,0.062025
-4.4195,6.128,0,-3.5652,0.071186,-0.86455,1.0623,0.071186
-4.5092,-6.1874,0,-3.6577,0.070959,4.8607,1.0493,0.070959
6.0524,0.21223,0,4.1641,0.15736,1.9464,1.0514,0.15736
0.25948,-2.7079,0,0.24382,0.0013047,4.2316,2.4098,0.0013047
0.26856,2.6981,0,0.25012,0.0015367,-0.22542,2.4134,0.0015367
9.2149,-3.1781,0,7.8559,0.11325,2.8098,0.53696,0.11325
8.8149,4.2144,0,7.436,0.11491,1.0971,0.68009,0.11491
5.2702,-1.7971,0,3.5281,0.14518,2.4562,1.335,0.14518
2.3663,0.063926,0,1.5989,0.063944,1.9662,2.3787,0.063944
7.876,-1.1143,0,6.6454,0.10255,2.4714,0.35773,0.10255
7.3881,0.7894,0,6.1143,0.10615,1.6673,0.38351,0.10615
-1.3417,4.8205,0,-0.89355,0.037346,-0.66357,1.6791,0.037346
-1.3834,-4.8979,0,-0.92653,0.03807,4.661,1.6611,0.03807
-1.3813,-2.2633,0,-1.016,0.030438,5.4675,1.8346,0.030438
-1.3655,2.2526,0,-1.0042,0.030104,-1.4674,1.8438,0.030104
5.5094,1.4318,0,3.7053,0.15034,1.6401,1.2594,0.15034
3.6446,-0.088749,0,2.3189,0.11048,2.0305,1.8811,0.11048
-2.8779,-3.1509,0,-2.1542,0.060306,5.3777,1.2612,0.060306
8.1672,-4.926,0,6.7919,0.11461,2.9756,0.80327,0.11461
-0.48065,-2.7339,0,-0.27665,0.017,4.7626,2.2708,0.017
-0.47015,2.7117,0,-0.2697,0.016704,-0.7614,2.2797,0.016704
1.0633,-4.2146,0,0.77436,0.024081,3.8621,1.9885,0.024081
1.1066,4.2264,0,0.80299,0.0253,0.15321,1.9833,0.0253
-0.63567,-1.6518,0,-0.46517,0.014209,5.388,2.402,0.014209
-0.63095,1.648,0,-0.46162,0.01411,-1.386,2.4067,0.01411
1.6577,-3.2153,0,1.1495,0.042348,3.5103,2.1526,0.042348
0.4107,-8.1585,0,0.36576,0.003745,4.0518,1.3354,0.003745
3.1986,-1.9673,0,2.0763,0.093526,2.7105,1.9549,0.093526
1.8891,-0.58799,0,1.3618,0.043941,2.3882,2.5646,0.043941
1.3294,1.4298,0,1.0188,0.02589,0.86211,2.6537,0.02589
1.3719,-1.5851,0,1.0301,0.028478,3.185,2.6043,0.028478
6.4253,-3.1649,0,4.6693,0.14633,2.7119,1.055,0.14633
3.864,-4.5492,0,2.7106,0.096117,3.1858,1.5402,0.096117
4.3719,4.6773,0,3.1139,0.10484,0.86467,1.4378,0.10484
3.3373,1.7776,0,2.1568,0.098376,1.3725,1.9261,0.098376
1.7994,0.94594,0,1.3033,0.041342,1.3673,2.566,0.041342
2.0214,-2.36,0,1.376,0.053788,3.1563,2.2535,0.053788
2.1847,1.985,0,1.4758,0.059078,1.0277,2.2726,0.059078
9.4963,-1.8577,0,8.4239,0.089365,2.7362,0.31787,0.089365
9.3098,1.9317,0,8.1655,0.095359,1.2803,0.3471,0.095359
-6.7231,-1.9413,0,-5.9577,0.063784,5.3085,0.33245,0.063784
-6.7228,1.9749,0,-5.9503,0.064378,-1.307,0.33817,0.064378
-0.291,-1.7667,0,-0.1789,0.0093418,4.9212,2.6118,0.0093418
-0.28679,1.7598,0,-0.17609,0.0092248,-0.919,2.6158,0.0092248
-6.4949,-4.1981,0,-5.5279,0.080584,5.1339,0.6677,0.080584
-6.4313,4.2186,0,-5.4603,0.080921,-1.1342,0.67727,0.080921
0.36533,-5.2996,0,0.31258,0.0043958,4.1103,1.7685,0.0043958
0.34898,5.2847,0,0.3012,0.0039814,-0.11549,1.7711,0.0039814
1.0049,-2.1268,0,0.76502,0.01999,3.6238,2.5469,0.01999
1.0288,2.0761,0,0.78332,0.020457,0.40629,2.5574,0.020457
-2.8334,3.1406,0,-2.1176,0.05965,-1.3779,1.2747,0.05965
4.039,0.70418,0,2.5793,0.12164,1.7801,1.7363,0.12164
-1.307,-3.2251,0,-0.87096,0.036337,5.0448,1.8808,0.036337
-1.2748,3.1896,0,-0.84789,0.035577,-1.0443,1.8966,0.035577
0.37279,8.1838,0,0.33567,0.0030935,-0.0572,1.3321,0.0030935
4.5085,-2.6039,0,2.9988,0.12581,2.7034,1.5346,0.12581
2.585,-4.0745,0,1.7717,0.067775,3.3632,1.8287,0.067775
2.8629,4.1146,0,1.9612,0.075146,0.69725,1.7736,0.075146
4.3696,3.0522,0,2.9338,0.11965,1.1779,1.5488,0.11965
-0.028712,-1.7482,0,0.023829,0.0043784,4.6006,2.7028,0.0043784
-0.025995,1.7444,0,0.025813,0.0043174,-0.59807,2.7047,0.0043174
-0.85617,-3.7951,0,-0.52933,0.027236,4.7029,1.9418,0.027236
-0.82886,3.7462,0,-0.50995,0.026576,-0.70206,1.9573,0.026576
6.6806,0.033649,0,4.8749,0.15048,1.9908,0.77076,0.15048
6.3633,-6.4876,0,5.2193,0.095331,3.2124,1.0448,0.095331
6.9803,6.3595,0,5.8228,0.096457,0.83107,0.97082,0.096457
5.3347,2.9047,0,3.671,0.13865,1.2961,1.3131,0.13865
4.3953,-0.794,0,2.8252,0.13085,2.2315,1.6154,0.13085
3.6079,-2.9967,0,2.3912,0.1014,2.9182,1.7448,0.1014
-4.5855,1.2933,0,-3.9966,0.04908,-1.589,0.37681,0.04908
-4.5585,-1.2407,0,-3.9868,0.047638,5.5956,0.36428,0.047638
3.1261,0.31533,0,2.0082,0.093158,1.8749,2.0709,0.093158
1.3632,0.93618,0,1.0866,0.023054,1.1785,2.7437,0.023054
-0.74709,5.0873,0,-0.46702,0.023339,-0.45631,1.7297,0.023339
-0.76506,-5.1663,0,-0.48172,0.023612,4.4521,1.7142,0.023612
2.6927,1.5825,0,1.7676,0.077091,1.3191,2.158,0.077091
-2.6707,5.4749,0,-1.9595,0.059268,-0.81009,1.3675,0.059268
